"Business Name","Category","Email","Website","Email Body"
"mittendrin – Restaurant & Café","Restaurant","mail@mittendrin-in-berlin.de","https://www.mittendrin-in-berlin.de","Hallo mittendrin – Restaurant & Café-Team,

beim Recherchieren nach schönen Berliner Restaurants bin ich auf Sie aufmerksam geworden – tolles Konzept!

Als Webdesigner aus Berlin fällt mir auf, dass viele kleine Restaurants Websites haben, die auf dem Smartphone nicht mehr ganz zeitgemäß wirken. Das kostet täglich potenzielle Gäste.

Ich helfe Berliner Restaurants mit moderner Webpräsenz: übersichtliche Speisekarte, einfache Online-Reservierung, mobilfreundliches Design.

Kosten: ab €500–800 für ein vollständiges Redesign – einmalig, keine Monatsgebühren.

Hätten Sie Lust auf ein kurzes 15-Minuten-Gespräch? Antworten Sie einfach auf diese E-Mail.

Viele Grüße aus Berlin,
[DEIN NAME]"
"Cô Chu","Restaurant","hello@co-chu.de","https://co-chu.de","Hallo Cô Chu-Team,

beim Recherchieren nach schönen Berliner Restaurants bin ich auf Sie aufmerksam geworden – tolles Konzept!

Als Webdesigner aus Berlin fällt mir auf, dass viele kleine Restaurants Websites haben, die auf dem Smartphone nicht mehr ganz zeitgemäß wirken. Das kostet täglich potenzielle Gäste.

Ich helfe Berliner Restaurants mit moderner Webpräsenz: übersichtliche Speisekarte, einfache Online-Reservierung, mobilfreundliches Design.

Kosten: ab €500–800 für ein vollständiges Redesign – einmalig, keine Monatsgebühren.

Hätten Sie Lust auf ein kurzes 15-Minuten-Gespräch? Antworten Sie einfach auf diese E-Mail.

Viele Grüße aus Berlin,
[DEIN NAME]"
"KUCHI Restaurants","Restaurant","mail@kuchi.de","https://kuchi.de","Hallo KUCHI Restaurants-Team,

beim Recherchieren nach schönen Berliner Restaurants bin ich auf Sie aufmerksam geworden – tolles Konzept!

Als Webdesigner aus Berlin fällt mir auf, dass viele kleine Restaurants Websites haben, die auf dem Smartphone nicht mehr ganz zeitgemäß wirken. Das kostet täglich potenzielle Gäste.

Ich helfe Berliner Restaurants mit moderner Webpräsenz: übersichtliche Speisekarte, einfache Online-Reservierung, mobilfreundliches Design.

Kosten: ab €500–800 für ein vollständiges Redesign – einmalig, keine Monatsgebühren.

Hätten Sie Lust auf ein kurzes 15-Minuten-Gespräch? Antworten Sie einfach auf diese E-Mail.

Viele Grüße aus Berlin,
[DEIN NAME]"
"Maximilians Restaurant","Restaurant","info@maximilians-berlin.de","https://www.maximilians-berlin.de","Hallo Maximilians Restaurant-Team,

beim Recherchieren nach schönen Berliner Restaurants bin ich auf Sie aufmerksam geworden – tolles Konzept!

Als Webdesigner aus Berlin fällt mir auf, dass viele kleine Restaurants Websites haben, die auf dem Smartphone nicht mehr ganz zeitgemäß wirken. Das kostet täglich potenzielle Gäste.

Ich helfe Berliner Restaurants mit moderner Webpräsenz: übersichtliche Speisekarte, einfache Online-Reservierung, mobilfreundliches Design.

Kosten: ab €500–800 für ein vollständiges Redesign – einmalig, keine Monatsgebühren.

Hätten Sie Lust auf ein kurzes 15-Minuten-Gespräch? Antworten Sie einfach auf diese E-Mail.

Viele Grüße aus Berlin,
[DEIN NAME]"
"Restauration 1840","Restaurant","controlling@hm-restaurants.de","https://www.berlin-1840.de","Guten Tag Restauration 1840-Team,

ich bin Webdesigner aus Berlin und schaue mir gern an, wie sich lokale Gastronomiebetriebe online präsentieren.

Restauration 1840 macht auf mich einen tollen Eindruck – aber Ihre aktuelle Website hält mit der Qualität Ihres Angebots leider noch nicht ganz Schritt.

Eine frische, mobilfreundliche Website mit digitalem Menü und Reservierungsmöglichkeit kann da wirklich viel ausmachen.

Preis: ab €500–800 für ein Redesign, einmalig.

Haben Sie Interesse an einem kostenlosen 15-Minuten-Call? Schreiben Sie mir einfach zurück!

Herzliche Grüße,
[DEIN NAME]"
"FREA Restaurant","Restaurant","reservierung@frea.de","https://www.frea.de","Guten Tag FREA Restaurant-Team,

ich bin Webdesigner aus Berlin und schaue mir gern an, wie sich lokale Gastronomiebetriebe online präsentieren.

FREA Restaurant macht auf mich einen tollen Eindruck – aber Ihre aktuelle Website hält mit der Qualität Ihres Angebots leider noch nicht ganz Schritt.

Eine frische, mobilfreundliche Website mit digitalem Menü und Reservierungsmöglichkeit kann da wirklich viel ausmachen.

Preis: ab €500–800 für ein Redesign, einmalig.

Haben Sie Interesse an einem kostenlosen 15-Minuten-Call? Schreiben Sie mir einfach zurück!

Herzliche Grüße,
[DEIN NAME]"
"Ga Ya Ya","Restaurant","info@gayaya.de","https://www.gayaya.restaurant","Guten Tag Ga Ya Ya-Team,

ich bin Webdesigner aus Berlin und schaue mir gern an, wie sich lokale Gastronomiebetriebe online präsentieren.

Ga Ya Ya macht auf mich einen tollen Eindruck – aber Ihre aktuelle Website hält mit der Qualität Ihres Angebots leider noch nicht ganz Schritt.

Eine frische, mobilfreundliche Website mit digitalem Menü und Reservierungsmöglichkeit kann da wirklich viel ausmachen.

Preis: ab €500–800 für ein Redesign, einmalig.

Haben Sie Interesse an einem kostenlosen 15-Minuten-Call? Schreiben Sie mir einfach zurück!

Herzliche Grüße,
[DEIN NAME]"
"Jäger & Lustig","Restaurant","info@jaegerundlustig.de","https://jaegerundlustig.de","Guten Tag Jäger & Lustig-Team,

ich bin Webdesigner aus Berlin und schaue mir gern an, wie sich lokale Gastronomiebetriebe online präsentieren.

Jäger & Lustig macht auf mich einen tollen Eindruck – aber Ihre aktuelle Website hält mit der Qualität Ihres Angebots leider noch nicht ganz Schritt.

Eine frische, mobilfreundliche Website mit digitalem Menü und Reservierungsmöglichkeit kann da wirklich viel ausmachen.

Preis: ab €500–800 für ein Redesign, einmalig.

Haben Sie Interesse an einem kostenlosen 15-Minuten-Call? Schreiben Sie mir einfach zurück!

Herzliche Grüße,
[DEIN NAME]"
"3 Schwestern","Restaurant","info@3schwestern.com","https://www.3schwestern.com","Hallo 3 Schwestern-Team,

3 Schwestern ist mir beim Entdecken lokaler Berliner Gastronomiebetriebe aufgefallen – schöner Laden!

Ich bin Webdesigner in Berlin und helfe kleinen Betrieben dabei, online mehr Gäste zu gewinnen. Oft macht schon ein modernes, mobilfreundliches Design einen großen Unterschied.

Ein Redesign gibt es bei mir ab €500–800 – einmalig und transparent kalkuliert.

Hätten Sie kurz Zeit für ein 15-Minuten-Gespräch? Ich freue mich auf Ihre Antwort!

Mit freundlichen Grüßen aus Berlin,
[DEIN NAME]"
"Chay Village","Restaurant","info@chayvillage.de","https://www.chayvillage.de","Hallo Chay Village-Team,

Chay Village ist mir beim Entdecken lokaler Berliner Gastronomiebetriebe aufgefallen – schöner Laden!

Ich bin Webdesigner in Berlin und helfe kleinen Betrieben dabei, online mehr Gäste zu gewinnen. Oft macht schon ein modernes, mobilfreundliches Design einen großen Unterschied.

Ein Redesign gibt es bei mir ab €500–800 – einmalig und transparent kalkuliert.

Hätten Sie kurz Zeit für ein 15-Minuten-Gespräch? Ich freue mich auf Ihre Antwort!

Mit freundlichen Grüßen aus Berlin,
[DEIN NAME]"
